,Date,Conversion Rate,value
1,2020-10-01,Search | Brand | USA | EN,20.99%
2,2020-10-01,Search | Generic | USA | EN,22.64%
3,2020-10-01,Display | USA | EN,7.32%
4,2020-10-01,Search | Brand | Brazil | EN,11.76%
5,2020-10-01,Search | Brand | UK | EN,2.86%
6,2020-10-02,Search | Brand | USA | EN,10.17%
7,2020-10-02,Search | Generic | USA | EN,15.15%
8,2020-10-02,Display | USA | EN,10.34%
9,2020-10-02,Search | Brand | Brazil | EN,10.53%
10,2020-10-02,Search | Brand | UK | EN,19.05%
11,2020-10-03,Search | Brand | USA | EN,15.22%
12,2020-10-03,Search | Generic | USA | EN,6.98%
13,2020-10-03,Display | USA | EN,7.69%
14,2020-10-03,Search | Brand | Brazil | EN,13.33%
15,2020-10-03,Search | Brand | UK | EN,5.00%
16,2020-10-04,Search | Brand | USA | EN,10.34%
17,2020-10-04,Search | Generic | USA | EN,16.28%
18,2020-10-04,Display | USA | EN,5.56%
19,2020-10-04,Search | Brand | Brazil | EN,5.00%
20,2020-10-04,Search | Brand | UK | EN,6.67%
21,2020-10-05,Search | Brand | USA | EN,9.59%
22,2020-10-05,Search | Generic | USA | EN,3.77%
23,2020-10-05,Display | USA | EN,14.29%
24,2020-10-05,Search | Brand | Brazil | EN,23.53%
25,2020-10-05,Search | Brand | UK | EN,3.03%
26,2020-10-06,Search | Brand | USA | EN,7.69%
27,2020-10-06,Search | Generic | USA | EN,4.00%
28,2020-10-06,Display | USA | EN,0.00%
29,2020-10-06,Search | Brand | Brazil | EN,24.00%
30,2020-10-06,Search | Brand | UK | EN,30.43%
31,2020-10-07,Search | Brand | USA | EN,8.11%
32,2020-10-07,Search | Generic | USA | EN,14.29%
33,2020-10-07,Display | USA | EN,30.77%
34,2020-10-07,Search | Brand | Brazil | EN,13.04%
35,2020-10-07,Search | Brand | UK | EN,10.34%
36,2020-10-08,Search | Brand | USA | EN,9.86%
37,2020-10-08,Search | Generic | USA | EN,4.69%
38,2020-10-08,Display | USA | EN,20.00%
39,2020-10-08,Search | Brand | Brazil | EN,11.11%
40,2020-10-08,Search | Brand | UK | EN,3.45%
41,2020-10-09,Search | Brand | USA | EN,18.03%
42,2020-10-09,Search | Generic | USA | EN,11.43%
43,2020-10-09,Display | USA | EN,7.14%
44,2020-10-09,Search | Brand | Brazil | EN,5.56%
45,2020-10-09,Search | Brand | UK | EN,9.68%
46,2020-10-10,Search | Brand | USA | EN,12.28%
47,2020-10-10,Search | Generic | USA | EN,11.11%
48,2020-10-10,Display | USA | EN,9.52%
49,2020-10-10,Search | Brand | Brazil | EN,25.00%
50,2020-10-10,Search | Brand | UK | EN,4.35%
51,2020-10-11,Search | Brand | USA | EN,10.71%
52,2020-10-11,Search | Generic | USA | EN,8.11%
53,2020-10-11,Display | USA | EN,10.00%
54,2020-10-11,Search | Brand | Brazil | EN,33.33%
55,2020-10-11,Search | Brand | UK | EN,4.35%
56,2020-10-12,Search | Brand | USA | EN,4.41%
57,2020-10-12,Search | Generic | USA | EN,19.57%
58,2020-10-12,Display | USA | EN,30.00%
59,2020-10-12,Search | Brand | Brazil | EN,27.27%
60,2020-10-12,Search | Brand | UK | EN,3.03%
61,2020-10-13,Search | Brand | USA | EN,16.39%
62,2020-10-13,Search | Generic | USA | EN,5.26%
63,2020-10-13,Display | USA | EN,8.33%
64,2020-10-13,Search | Brand | Brazil | EN,7.69%
65,2020-10-13,Search | Brand | UK | EN,8.57%
66,2020-10-14,Search | Brand | USA | EN,16.90%
67,2020-10-14,Search | Generic | USA | EN,4.00%
68,2020-10-14,Display | USA | EN,33.33%
69,2020-10-14,Search | Brand | Brazil | EN,10.00%
70,2020-10-14,Search | Brand | UK | EN,5.56%
71,2020-10-15,Search | Brand | USA | EN,9.00%
72,2020-10-15,Search | Generic | USA | EN,18.92%
73,2020-10-15,Display | USA | EN,10.00%
74,2020-10-15,Search | Brand | Brazil | EN,0.00%
75,2020-10-15,Search | Brand | UK | EN,11.76%
76,2020-10-16,Search | Brand | USA | EN,1.30%
77,2020-10-16,Search | Generic | USA | EN,4.44%
78,2020-10-16,Display | USA | EN,0.00%
79,2020-10-16,Search | Brand | Brazil | EN,0.00%
80,2020-10-16,Search | Brand | UK | EN,5.26%
81,2020-10-17,Search | Brand | USA | EN,16.00%
82,2020-10-17,Search | Generic | USA | EN,7.32%
83,2020-10-17,Display | USA | EN,0.00%
84,2020-10-17,Search | Brand | Brazil | EN,0.00%
85,2020-10-17,Search | Brand | UK | EN,15.00%
86,2020-10-18,Search | Brand | USA | EN,1.59%
87,2020-10-18,Search | Generic | USA | EN,5.26%
88,2020-10-18,Display | USA | EN,18.18%
89,2020-10-18,Search | Brand | Brazil | EN,0.00%
90,2020-10-18,Search | Brand | UK | EN,0.00%
91,2020-10-19,Search | Brand | USA | EN,10.84%
92,2020-10-19,Search | Generic | USA | EN,10.20%
93,2020-10-19,Display | USA | EN,14.29%
94,2020-10-19,Search | Brand | Brazil | EN,0.00%
95,2020-10-19,Search | Brand | UK | EN,11.11%
96,2020-10-20,Search | Brand | USA | EN,10.00%
97,2020-10-20,Search | Generic | USA | EN,1.92%
98,2020-10-20,Display | USA | EN,11.11%
99,2020-10-20,Search | Brand | Brazil | EN,0.00%
100,2020-10-20,Search | Brand | UK | EN,5.88%
101,2020-10-21,Search | Brand | USA | EN,9.68%
102,2020-10-21,Search | Generic | USA | EN,7.41%
103,2020-10-21,Display | USA | EN,0.00%
104,2020-10-21,Search | Brand | Brazil | EN,0.00%
105,2020-10-21,Search | Brand | UK | EN,9.52%
106,2020-10-22,Search | Brand | USA | EN,1.67%
107,2020-10-22,Search | Generic | USA | EN,10.00%
108,2020-10-22,Display | USA | EN,0.00%
109,2020-10-22,Search | Brand | Brazil | EN,0.00%
110,2020-10-22,Search | Brand | UK | EN,0.00%
111,2020-10-23,Search | Brand | USA | EN,22.22%
112,2020-10-23,Search | Generic | USA | EN,8.33%
