,Date,CTR,value
1,2020-10-01,Campaign A,49.65%
2,2020-10-01,Campaign B,2.40%
3,2020-10-01,Campaign C,0.43%
4,2020-10-01,Campaign D,21.82%
5,2020-10-01,Campaign E,19.28%
6,2020-10-02,Campaign A,43.93%
7,2020-10-02,Campaign B,2.03%
8,2020-10-02,Campaign C,0.48%
9,2020-10-02,Campaign D,30.30%
10,2020-10-02,Campaign E,24.10%
11,2020-10-03,Campaign A,39.77%
12,2020-10-03,Campaign B,3.42%
13,2020-10-03,Campaign C,0.40%
14,2020-10-03,Campaign D,42.42%
15,2020-10-03,Campaign E,23.81%
16,2020-10-04,Campaign A,44.34%
17,2020-10-04,Campaign B,2.15%
18,2020-10-04,Campaign C,0.65%
19,2020-10-04,Campaign D,33.33%
20,2020-10-04,Campaign E,31.67%
21,2020-10-05,Campaign A,40.46%
22,2020-10-05,Campaign B,2.03%
23,2020-10-05,Campaign C,1.31%
24,2020-10-05,Campaign D,21.05%
25,2020-10-05,Campaign E,23.68%
26,2020-10-06,Campaign A,40.56%
27,2020-10-06,Campaign B,1.78%
28,2020-10-06,Campaign C,1.63%
29,2020-10-06,Campaign D,38.46%
30,2020-10-06,Campaign E,20.95%
31,2020-10-07,Campaign A,41.54%
32,2020-10-07,Campaign B,1.69%
33,2020-10-07,Campaign C,1.44%
34,2020-10-07,Campaign D,27.27%
35,2020-10-07,Campaign E,32.50%
36,2020-10-08,Campaign A,32.34%
37,2020-10-08,Campaign B,2.32%
38,2020-10-08,Campaign C,1.59%
39,2020-10-08,Campaign D,16.22%
40,2020-10-08,Campaign E,29.73%
41,2020-10-09,Campaign A,35.04%
42,2020-10-09,Campaign B,1.25%
43,2020-10-09,Campaign C,1.19%
44,2020-10-09,Campaign D,26.92%
45,2020-10-09,Campaign E,42.11%
46,2020-10-10,Campaign A,40.87%
47,2020-10-10,Campaign B,1.54%
48,2020-10-10,Campaign C,1.77%
49,2020-10-10,Campaign D,43.24%
50,2020-10-10,Campaign E,47.50%
51,2020-10-11,Campaign A,36.64%
52,2020-10-11,Campaign B,1.66%
53,2020-10-11,Campaign C,1.36%
54,2020-10-11,Campaign D,28.57%
55,2020-10-11,Campaign E,22.54%
56,2020-10-12,Campaign A,45.58%
57,2020-10-12,Campaign B,2.03%
58,2020-10-12,Campaign C,2.14%
59,2020-10-12,Campaign D,27.03%
60,2020-10-12,Campaign E,31.43%
61,2020-10-13,Campaign A,35.76%
62,2020-10-13,Campaign B,1.99%
63,2020-10-13,Campaign C,2.09%
64,2020-10-13,Campaign D,17.65%
65,2020-10-13,Campaign E,49.21%
66,2020-10-14,Campaign A,40.94%
67,2020-10-14,Campaign B,2.29%
68,2020-10-14,Campaign C,1.48%
69,2020-10-14,Campaign D,43.75%
70,2020-10-14,Campaign E,34.43%
71,2020-10-15,Campaign A,41.67%
72,2020-10-15,Campaign B,1.64%
73,2020-10-15,Campaign C,1.40%
74,2020-10-15,Campaign D,0.00%
75,2020-10-15,Campaign E,33.33%
76,2020-10-16,Campaign A,31.10%
77,2020-10-16,Campaign B,2.20%
78,2020-10-16,Campaign C,0.99%
79,2020-10-16,Campaign D,0.00%
80,2020-10-16,Campaign E,35.42%
81,2020-10-17,Campaign A,31.58%
82,2020-10-17,Campaign B,2.00%
83,2020-10-17,Campaign C,1.19%
84,2020-10-17,Campaign D,0.00%
85,2020-10-17,Campaign E,24.72%
86,2020-10-18,Campaign A,30.18%
87,2020-10-18,Campaign B,2.65%
88,2020-10-18,Campaign C,1.69%
89,2020-10-18,Campaign D,0.00%
90,2020-10-18,Campaign E,22.50%
91,2020-10-19,Campaign A,35.84%
92,2020-10-19,Campaign B,2.14%
93,2020-10-19,Campaign C,1.49%
94,2020-10-19,Campaign D,0.00%
95,2020-10-19,Campaign E,31.11%
96,2020-10-20,Campaign A,32.49%
97,2020-10-20,Campaign B,2.06%
98,2020-10-20,Campaign C,1.76%
99,2020-10-20,Campaign D,0.00%
100,2020-10-20,Campaign E,30.95%
101,2020-10-21,Campaign A,29.28%
102,2020-10-21,Campaign B,2.64%
103,2020-10-21,Campaign C,1.47%
104,2020-10-21,Campaign D,0.00%
105,2020-10-21,Campaign E,44.68%
106,2020-10-22,Campaign A,32.98%
107,2020-10-22,Campaign B,1.49%
108,2020-10-22,Campaign C,1.18%
109,2020-10-22,Campaign D,0.00%
110,2020-10-22,Campaign E,19.23%
111,2020-10-23,Campaign A,26.13%
112,2020-10-23,Campaign B,2.30%
113,2020-10-23,Campaign C,1.37%
114,2020-10-23,Campaign D,0.00%
115,2020-10-23,Campaign E,41.67%
116,2020-10-24,Campaign A,36.78%
117,2020-10-24,Campaign B,1.62%
118,2020-10-24,Campaign C,1.19%
119,2020-10-24,Campaign D,0.00%
120,2020-10-24,Campaign E,26.32%
121,2020-10-25,Campaign A,24.73%
122,2020-10-25,Campaign B,2.37%
123,2020-10-25,Campaign C,2.84%
124,2020-10-25,Campaign D,0.00%
125,2020-10-25,Campaign E,23.53%
126,2020-10-26,Campaign A,32.35%
127,2020-10-26,Campaign B,2.70%
128,2020-10-26,Campaign C,2.15%
129,2020-10-26,Campaign D,0.00%
130,2020-10-26,Campaign E,22.22%
131,2020-10-27,Campaign A,23.97%
132,2020-10-27,Campaign B,1.84%
133,2020-10-27,Campaign C,2.20%
134,2020-10-27,Campaign D,0.00%
135,2020-10-27,Campaign E,39.13%
136,2020-10-28,Campaign A,28.03%
137,2020-10-28,Campaign B,2.15%
138,2020-10-28,Campaign C,1.22%
139,2020-10-28,Campaign D,0.00%
140,2020-10-28,Campaign E,42.86%
141,2020-10-29,Campaign A,31.58%
142,2020-10-29,Campaign B,1.88%
143,2020-10-29,Campaign C,2.32%
144,2020-10-29,Campaign D,0.00%
145,2020-10-29,Campaign E,33.33%
146,2020-10-30,Campaign A,28.49%
147,2020-10-30,Campaign B,2.22%
148,2020-10-30,Campaign C,1.89%
149,2020-10-30,Campaign D,0.00%
150,2020-10-30,Campaign E,31.58%
151,2020-10-31,Campaign A,24.64%
152,2020-10-31,Campaign B,2.47%
153,2020-10-31,Campaign C,4.04%
154,2020-10-31,Campaign D,0.00%
155,2020-10-31,Campaign E,31.58%
