,Date,Impressions,value
1,2020-10-01,Search | Brand | USA | EN,143
2,2020-10-01,Search | Generic | USA | EN,"1,959"
3,2020-10-01,Display | USA | EN,"10,295"
4,2020-10-01,Search | Brand | UK | EN,166
5,2020-10-01,Search | Brand | Brazil | EN,55
6,2020-10-02,Search | Brand | USA | EN,107
7,2020-10-02,Search | Generic | USA | EN,"1,526"
8,2020-10-02,Display | USA | EN,"9,788"
9,2020-10-02,Search | Brand | UK | EN,83
10,2020-10-02,Search | Brand | Brazil | EN,66
11,2020-10-03,Search | Brand | USA | EN,88
12,2020-10-03,Search | Generic | USA | EN,"1,402"
13,2020-10-03,Display | USA | EN,"8,753"
14,2020-10-03,Search | Brand | UK | EN,84
15,2020-10-03,Search | Brand | Brazil | EN,33
16,2020-10-04,Search | Brand | USA | EN,106
17,2020-10-04,Search | Generic | USA | EN,"1,768"
18,2020-10-04,Display | USA | EN,"4,765"
19,2020-10-04,Search | Brand | UK | EN,60
20,2020-10-04,Search | Brand | Brazil | EN,48
21,2020-10-05,Search | Brand | USA | EN,131
22,2020-10-05,Search | Generic | USA | EN,"2,121"
23,2020-10-05,Display | USA | EN,"3,295"
24,2020-10-05,Search | Brand | UK | EN,114
25,2020-10-05,Search | Brand | Brazil | EN,57
26,2020-10-06,Search | Brand | USA | EN,143
27,2020-10-06,Search | Generic | USA | EN,"2,646"
28,2020-10-06,Display | USA | EN,"2,086"
29,2020-10-06,Search | Brand | UK | EN,105
30,2020-10-06,Search | Brand | Brazil | EN,65
31,2020-10-07,Search | Brand | USA | EN,130
32,2020-10-07,Search | Generic | USA | EN,"2,663"
33,2020-10-07,Display | USA | EN,"2,976"
34,2020-10-07,Search | Brand | UK | EN,80
35,2020-10-07,Search | Brand | Brazil | EN,66
36,2020-10-08,Search | Brand | USA | EN,167
37,2020-10-08,Search | Generic | USA | EN,"2,499"
38,2020-10-08,Display | USA | EN,"2,827"
39,2020-10-08,Search | Brand | UK | EN,74
40,2020-10-08,Search | Brand | Brazil | EN,37
41,2020-10-09,Search | Brand | USA | EN,137
42,2020-10-09,Search | Generic | USA | EN,"2,233"
43,2020-10-09,Display | USA | EN,"3,101"
44,2020-10-09,Search | Brand | UK | EN,57
45,2020-10-09,Search | Brand | Brazil | EN,52
46,2020-10-10,Search | Brand | USA | EN,115
47,2020-10-10,Search | Generic | USA | EN,"1,885"
48,2020-10-10,Display | USA | EN,"2,943"
49,2020-10-10,Search | Brand | UK | EN,40
50,2020-10-10,Search | Brand | Brazil | EN,37
51,2020-10-11,Search | Brand | USA | EN,131
52,2020-10-11,Search | Generic | USA | EN,"1,927"
53,2020-10-11,Display | USA | EN,"2,351"
54,2020-10-11,Search | Brand | UK | EN,71
55,2020-10-11,Search | Brand | Brazil | EN,28
56,2020-10-12,Search | Brand | USA | EN,147
57,2020-10-12,Search | Generic | USA | EN,"2,319"
58,2020-10-12,Display | USA | EN,"2,667"
59,2020-10-12,Search | Brand | UK | EN,70
60,2020-10-12,Search | Brand | Brazil | EN,37
61,2020-10-13,Search | Brand | USA | EN,151
62,2020-10-13,Search | Generic | USA | EN,"1,960"
63,2020-10-13,Display | USA | EN,"2,965"
64,2020-10-13,Search | Brand | UK | EN,63
65,2020-10-13,Search | Brand | Brazil | EN,68
66,2020-10-14,Search | Brand | USA | EN,149
67,2020-10-14,Search | Generic | USA | EN,"2,266"
68,2020-10-14,Display | USA | EN,"2,768"
69,2020-10-14,Search | Brand | UK | EN,61
70,2020-10-14,Search | Brand | Brazil | EN,16
71,2020-10-15,Search | Brand | USA | EN,228
72,2020-10-15,Search | Generic | USA | EN,"2,311"
73,2020-10-15,Display | USA | EN,"2,074"
74,2020-10-15,Search | Brand | UK | EN,57
75,2020-10-15,Search | Brand | Brazil | EN,0
76,2020-10-16,Search | Brand | USA | EN,209
77,2020-10-16,Search | Generic | USA | EN,"2,050"
78,2020-10-16,Display | USA | EN,"2,014"
79,2020-10-16,Search | Brand | UK | EN,48
