,Date,Impressions,value
1,2020-09-01,Search | Brand | USA | EN,270
2,2020-09-01,Search | Generic | USA | EN,"2,631"
3,2020-09-01,Non-Brand Prospection,898
4,2020-09-01,Search | Brand | Brazil | EN,120
5,2020-09-01,Display | USA | EN,"5,916"
6,2020-09-02,Search | Brand | USA | EN,277
7,2020-09-02,Search | Generic | USA | EN,"2,871"
8,2020-09-02,Non-Brand Prospection,972
9,2020-09-02,Search | Brand | Brazil | EN,111
10,2020-09-02,Display | USA | EN,"6,010"
11,2020-09-03,Search | Brand | USA | EN,307
12,2020-09-03,Search | Generic | USA | EN,"2,060"
13,2020-09-03,Non-Brand Prospection,878
14,2020-09-03,Search | Brand | Brazil | EN,96
15,2020-09-03,Display | USA | EN,"4,876"
16,2020-09-04,Search | Brand | USA | EN,240
17,2020-09-04,Search | Generic | USA | EN,"1,471"
18,2020-09-04,Non-Brand Prospection,677
19,2020-09-04,Search | Brand | Brazil | EN,94
20,2020-09-04,Display | USA | EN,992
21,2020-09-05,Search | Brand | USA | EN,227
22,2020-09-05,Search | Generic | USA | EN,"1,367"
23,2020-09-05,Non-Brand Prospection,750
24,2020-09-05,Search | Brand | Brazil | EN,69
25,2020-09-05,Display | USA | EN,758
26,2020-09-06,Search | Brand | USA | EN,215
27,2020-09-06,Search | Generic | USA | EN,"1,229"
28,2020-09-06,Non-Brand Prospection,783
29,2020-09-06,Search | Brand | Brazil | EN,75
30,2020-09-06,Display | USA | EN,789
31,2020-09-07,Search | Brand | USA | EN,277
32,2020-09-07,Search | Generic | USA | EN,"1,325"
33,2020-09-07,Non-Brand Prospection,"1,102"
34,2020-09-07,Search | Brand | Brazil | EN,80
35,2020-09-07,Display | USA | EN,"1,065"
36,2020-09-08,Search | Brand | USA | EN,276
37,2020-09-08,Search | Generic | USA | EN,"1,330"
38,2020-09-08,Non-Brand Prospection,"1,033"
39,2020-09-08,Search | Brand | Brazil | EN,91
40,2020-09-08,Display | USA | EN,"1,224"
41,2020-09-09,Search | Brand | USA | EN,277
42,2020-09-09,Search | Generic | USA | EN,"1,239"
43,2020-09-09,Non-Brand Prospection,"1,101"
44,2020-09-09,Search | Brand | Brazil | EN,122
45,2020-09-09,Display | USA | EN,"1,735"
46,2020-09-10,Search | Brand | USA | EN,246
47,2020-09-10,Search | Generic | USA | EN,"1,504"
48,2020-09-10,Non-Brand Prospection,"1,063"
49,2020-09-10,Search | Brand | Brazil | EN,116
50,2020-09-10,Display | USA | EN,"2,237"
51,2020-09-11,Search | Brand | USA | EN,197
52,2020-09-11,Search | Generic | USA | EN,"1,137"
53,2020-09-11,Non-Brand Prospection,801
54,2020-09-11,Search | Brand | Brazil | EN,118
55,2020-09-11,Display | USA | EN,"2,054"
56,2020-09-12,Search | Brand | USA | EN,242
57,2020-09-12,Search | Generic | USA | EN,"1,148"
58,2020-09-12,Non-Brand Prospection,865
59,2020-09-12,Search | Brand | Brazil | EN,98
60,2020-09-12,Display | USA | EN,"1,073"
61,2020-09-13,Search | Brand | USA | EN,162
62,2020-09-13,Search | Generic | USA | EN,"1,161"
63,2020-09-13,Non-Brand Prospection,883
64,2020-09-13,Search | Brand | Brazil | EN,85
65,2020-09-13,Display | USA | EN,"1,040"
66,2020-09-14,Search | Brand | USA | EN,245
67,2020-09-14,Search | Generic | USA | EN,"1,732"
68,2020-09-14,Non-Brand Prospection,"1,071"
69,2020-09-14,Search | Brand | Brazil | EN,129
70,2020-09-14,Display | USA | EN,"1,225"
71,2020-09-15,Search | Brand | USA | EN,300
72,2020-09-15,Search | Generic | USA | EN,"1,765"
73,2020-09-15,Non-Brand Prospection,"1,255"
74,2020-09-15,Search | Brand | Brazil | EN,102
75,2020-09-15,Display | USA | EN,518
76,2020-09-16,Search | Brand | USA | EN,238
77,2020-09-16,Search | Generic | USA | EN,"1,790"
78,2020-09-16,Non-Brand Prospection,"1,164"
79,2020-09-16,Search | Brand | Brazil | EN,136
80,2020-09-16,Display | USA | EN,924
81,2020-09-17,Search | Brand | USA | EN,271
82,2020-09-17,Search | Generic | USA | EN,"1,654"
83,2020-09-17,Non-Brand Prospection,"1,147"
84,2020-09-17,Search | Brand | Brazil | EN,132
85,2020-09-17,Display | USA | EN,790
86,2020-09-18,Search | Brand | USA | EN,231
87,2020-09-18,Search | Generic | USA | EN,"1,756"
88,2020-09-18,Non-Brand Prospection,980
89,2020-09-18,Search | Brand | Brazil | EN,99
90,2020-09-18,Display | USA | EN,664
91,2020-09-19,Search | Brand | USA | EN,213
92,2020-09-19,Search | Generic | USA | EN,"1,606"
93,2020-09-19,Non-Brand Prospection,990
94,2020-09-19,Search | Brand | Brazil | EN,111
95,2020-09-19,Display | USA | EN,"1,412"
96,2020-09-20,Search | Brand | USA | EN,242
97,2020-09-20,Search | Generic | USA | EN,"1,807"
98,2020-09-20,Non-Brand Prospection,961
99,2020-09-20,Search | Brand | Brazil | EN,94
100,2020-09-20,Display | USA | EN,895
101,2020-09-21,Search | Brand | USA | EN,241
102,2020-09-21,Search | Generic | USA | EN,"2,021"
103,2020-09-21,Non-Brand Prospection,"1,210"
104,2020-09-21,Search | Brand | Brazil | EN,116
105,2020-09-21,Display | USA | EN,"1,014"
106,2020-09-22,Search | Brand | USA | EN,241
107,2020-09-22,Search | Generic | USA | EN,"2,429"
108,2020-09-22,Non-Brand Prospection,"1,089"
109,2020-09-22,Search | Brand | Brazil | EN,144
110,2020-09-22,Display | USA | EN,"7,615"
111,2020-09-23,Search | Brand | USA | EN,160
112,2020-09-23,Search | Generic | USA | EN,"2,468"
113,2020-09-23,Non-Brand Prospection,558
114,2020-09-23,Search | Brand | Brazil | EN,84
115,2020-09-23,Display | USA | EN,"1,031"
116,2020-09-24,Search | Brand | USA | EN,151
117,2020-09-24,Search | Generic | USA | EN,"1,938"
118,2020-09-24,Non-Brand Prospection,0
119,2020-09-24,Search | Brand | Brazil | EN,79
120,2020-09-24,Display | USA | EN,"8,331"
121,2020-09-25,Search | Brand | USA | EN,137
122,2020-09-25,Search | Generic | USA | EN,"1,633"
123,2020-09-25,Non-Brand Prospection,0
124,2020-09-25,Search | Brand | Brazil | EN,56
125,2020-09-25,Display | USA | EN,"12,715"
126,2020-09-26,Search | Brand | USA | EN,108
