,Date,Conversion Rate,value
1,2020-09-01,Search | Brand | USA | EN,14.56
2,2020-09-01,Search | Generic | USA | EN,3.28
3,2020-09-01,Non-Brand Prospection,8.16
4,2020-09-01,Search | Brand | Brazil | EN ,9.68
5,2020-09-01,Display | USA | EN ,28.57
6,2020-09-02,Search | Brand | USA | EN,5.26
7,2020-09-02,Search | Generic | USA | EN,6.67
8,2020-09-02,Non-Brand Prospection,7.5
9,2020-09-02,Search | Brand | Brazil | EN ,0
10,2020-09-02,Display | USA | EN ,18.75
11,2020-09-03,Search | Brand | USA | EN,6.06
12,2020-09-03,Search | Generic | USA | EN,6.52
13,2020-09-03,Non-Brand Prospection,14.71
14,2020-09-03,Search | Brand | Brazil | EN ,18.18
15,2020-09-03,Display | USA | EN ,31.25
16,2020-09-04,Search | Brand | USA | EN,7.14
17,2020-09-04,Search | Generic | USA | EN,6.98
18,2020-09-04,Non-Brand Prospection,23.33
19,2020-09-04,Search | Brand | Brazil | EN ,3.03
20,2020-09-04,Display | USA | EN ,20
21,2020-09-05,Search | Brand | USA | EN,14.04
22,2020-09-05,Search | Generic | USA | EN,9.76
23,2020-09-05,Non-Brand Prospection,3.57
24,2020-09-05,Search | Brand | Brazil | EN ,3.7
25,2020-09-05,Display | USA | EN ,14.29
26,2020-09-06,Search | Brand | USA | EN,13.19
27,2020-09-06,Search | Generic | USA | EN,3.33
28,2020-09-06,Non-Brand Prospection,2.94
29,2020-09-06,Search | Brand | Brazil | EN ,5.26
30,2020-09-06,Display | USA | EN ,0
31,2020-09-07,Search | Brand | USA | EN,8.57
32,2020-09-07,Search | Generic | USA | EN,13.64
33,2020-09-07,Non-Brand Prospection,9.09
34,2020-09-07,Search | Brand | Brazil | EN ,5.41
35,2020-09-07,Display | USA | EN ,25
36,2020-09-08,Search | Brand | USA | EN,10.32
37,2020-09-08,Search | Generic | USA | EN,12.5
38,2020-09-08,Non-Brand Prospection,13.33
39,2020-09-08,Search | Brand | Brazil | EN ,10.81
40,2020-09-08,Display | USA | EN ,9.09
41,2020-09-09,Search | Brand | USA | EN,7.2
42,2020-09-09,Search | Generic | USA | EN,4.44
43,2020-09-09,Non-Brand Prospection,17.14
44,2020-09-09,Search | Brand | Brazil | EN ,8.82
45,2020-09-09,Display | USA | EN ,20
46,2020-09-10,Search | Brand | USA | EN,9.17
47,2020-09-10,Search | Generic | USA | EN,10.71
48,2020-09-10,Non-Brand Prospection,2.78
49,2020-09-10,Search | Brand | Brazil | EN ,5.26
50,2020-09-10,Display | USA | EN ,50
51,2020-09-11,Search | Brand | USA | EN,2.38
52,2020-09-11,Search | Generic | USA | EN,13.04
53,2020-09-11,Non-Brand Prospection,13.16
54,2020-09-11,Search | Brand | Brazil | EN ,16
55,2020-09-11,Display | USA | EN ,14.29
56,2020-09-12,Search | Brand | USA | EN,6.12
57,2020-09-12,Search | Generic | USA | EN,5.88
58,2020-09-12,Non-Brand Prospection,6.45
59,2020-09-12,Search | Brand | Brazil | EN ,14.29
60,2020-09-12,Display | USA | EN ,16.67
61,2020-09-13,Search | Brand | USA | EN,7.69
62,2020-09-13,Search | Generic | USA | EN,9.38
63,2020-09-13,Non-Brand Prospection,13.89
64,2020-09-13,Search | Brand | Brazil | EN ,7.14
65,2020-09-13,Display | USA | EN ,0
66,2020-09-14,Search | Brand | USA | EN,4.9
67,2020-09-14,Search | Generic | USA | EN,9.09
68,2020-09-14,Non-Brand Prospection,15.38
69,2020-09-14,Search | Brand | Brazil | EN ,18.92
70,2020-09-14,Display | USA | EN ,25
71,2020-09-15,Search | Brand | USA | EN,11.19
72,2020-09-15,Search | Generic | USA | EN,12.12
73,2020-09-15,Non-Brand Prospection,7.32
74,2020-09-15,Search | Brand | Brazil | EN ,16.67
75,2020-09-15,Display | USA | EN ,0
76,2020-09-16,Search | Brand | USA | EN,10.38
77,2020-09-16,Search | Generic | USA | EN,10.42
78,2020-09-16,Non-Brand Prospection,9.3
79,2020-09-16,Search | Brand | Brazil | EN ,12.5
80,2020-09-16,Display | USA | EN ,0
81,2020-09-17,Search | Brand | USA | EN,13.68
82,2020-09-17,Search | Generic | USA | EN,13.51
83,2020-09-17,Non-Brand Prospection,4.88
84,2020-09-17,Search | Brand | Brazil | EN ,22.22
85,2020-09-17,Display | USA | EN ,25
86,2020-09-18,Search | Brand | USA | EN,4.65
87,2020-09-18,Search | Generic | USA | EN,13.16
88,2020-09-18,Non-Brand Prospection,5.13
89,2020-09-18,Search | Brand | Brazil | EN ,8.7
90,2020-09-18,Display | USA | EN ,25
91,2020-09-19,Search | Brand | USA | EN,15.04
92,2020-09-19,Search | Generic | USA | EN,10.81
93,2020-09-19,Non-Brand Prospection,4.44
94,2020-09-19,Search | Brand | Brazil | EN ,11.54
95,2020-09-19,Display | USA | EN ,30
96,2020-09-20,Search | Brand | USA | EN,13.59
97,2020-09-20,Search | Generic | USA | EN,9.68
98,2020-09-20,Non-Brand Prospection,12.12
99,2020-09-20,Search | Brand | Brazil | EN ,16.67
100,2020-09-20,Display | USA | EN ,10
101,2020-09-21,Search | Brand | USA | EN,2.61
102,2020-09-21,Search | Generic | USA | EN,2.5
103,2020-09-21,Non-Brand Prospection,6.12
104,2020-09-21,Search | Brand | Brazil | EN ,10
105,2020-09-21,Display | USA | EN ,22.22
106,2020-09-22,Search | Brand | USA | EN,6.9
107,2020-09-22,Search | Generic | USA | EN,3.92
108,2020-09-22,Non-Brand Prospection,12.12
109,2020-09-22,Search | Brand | Brazil | EN ,20
110,2020-09-22,Display | USA | EN ,20.69
111,2020-09-23,Search | Brand | USA | EN,7.23
112,2020-09-23,Search | Generic | USA | EN,13.04
113,2020-09-23,Non-Brand Prospection,0
114,2020-09-23,Search | Brand | Brazil | EN ,14.29
115,2020-09-23,Display | USA | EN ,0
116,2020-09-24,Search | Brand | USA | EN,7.77
117,2020-09-24,Search | Generic | USA | EN,5.08
118,2020-09-24,Non-Brand Prospection,0
119,2020-09-24,Search | Brand | Brazil | EN ,13.64
120,2020-09-24,Display | USA | EN ,9.09
121,2020-09-25,Search | Brand | USA | EN,6.59
122,2020-09-25,Search | Generic | USA | EN,11.9
123,2020-09-25,Non-Brand Prospection,0
124,2020-09-25,Search | Brand | Brazil | EN ,12.5
125,2020-09-25,Display | USA | EN ,4.65
126,2020-09-26,Search | Brand | USA | EN,14.58
127,2020-09-26,Search | Generic | USA | EN,9.09
128,2020-09-26,Non-Brand Prospection,0
129,2020-09-26,Search | Brand | Brazil | EN ,0
130,2020-09-26,Display | USA | EN ,25
131,2020-09-27,Search | Brand | USA | EN,7.84
132,2020-09-27,Search | Generic | USA | EN,9.38
133,2020-09-27,Non-Brand Prospection,0
134,2020-09-27,Search | Brand | Brazil | EN ,0
135,2020-09-27,Display | USA | EN ,23.08
136,2020-09-28,Search | Brand | USA | EN,7.14
137,2020-09-28,Search | Generic | USA | EN,8.33
138,2020-09-28,Non-Brand Prospection,0
139,2020-09-28,Search | Brand | Brazil | EN ,13.04
140,2020-09-28,Display | USA | EN ,20
141,2020-09-29,Search | Brand | USA | EN,19.19
142,2020-09-29,Search | Generic | USA | EN,8.16
143,2020-09-29,Non-Brand Prospection,0
144,2020-09-29,Search | Brand | Brazil | EN ,25
145,2020-09-29,Display | USA | EN ,12.5
146,2020-09-30,Search | Brand | USA | EN,11.27
147,2020-09-30,Search | Generic | USA | EN,9.8
148,2020-09-30,Non-Brand Prospection,0
149,2020-09-30,Search | Brand | Brazil | EN ,9.52
150,2020-09-30,Display | USA | EN ,6.45
