,Date,CTR,value
1,2020-09-01,Search | Brand | USA | EN,31.85
2,2020-09-01,Search | Generic | USA | EN,2.13
3,2020-09-01,Search | Brand | Brazil | EN ,16.67
4,2020-09-01,Display | USA | EN ,0.74
5,2020-09-01,Non-Brand Prospection ,6.24
6,2020-09-02,Search | Brand | USA | EN,34.66
7,2020-09-02,Search | Generic | USA | EN,1.74
8,2020-09-02,Search | Brand | Brazil | EN ,18.02
9,2020-09-02,Display | USA | EN ,0.58
10,2020-09-02,Non-Brand Prospection ,5.04
11,2020-09-03,Search | Brand | USA | EN,26.71
12,2020-09-03,Search | Generic | USA | EN,2.09
13,2020-09-03,Search | Brand | Brazil | EN ,17.71
14,2020-09-03,Display | USA | EN ,0.7
15,2020-09-03,Non-Brand Prospection ,4.44
16,2020-09-04,Search | Brand | USA | EN,32.08
17,2020-09-04,Search | Generic | USA | EN,2.38
18,2020-09-04,Search | Brand | Brazil | EN ,22.34
19,2020-09-04,Display | USA | EN ,0.6
20,2020-09-04,Non-Brand Prospection ,5.47
21,2020-09-05,Search | Brand | USA | EN,23.35
22,2020-09-05,Search | Generic | USA | EN,3.15
23,2020-09-05,Search | Brand | Brazil | EN ,20.29
24,2020-09-05,Display | USA | EN ,1.45
25,2020-09-05,Non-Brand Prospection ,4.8
26,2020-09-06,Search | Brand | USA | EN,32.56
27,2020-09-06,Search | Generic | USA | EN,2.2
28,2020-09-06,Search | Brand | Brazil | EN ,20
29,2020-09-06,Display | USA | EN ,0.76
30,2020-09-06,Non-Brand Prospection ,4.6
31,2020-09-07,Search | Brand | USA | EN,18.77
32,2020-09-07,Search | Generic | USA | EN,2.79
33,2020-09-07,Search | Brand | Brazil | EN ,21.25
34,2020-09-07,Display | USA | EN ,1.13
35,2020-09-07,Non-Brand Prospection ,4.72
36,2020-09-08,Search | Brand | USA | EN,33.7
37,2020-09-08,Search | Generic | USA | EN,2.78
38,2020-09-08,Search | Brand | Brazil | EN ,24.18
39,2020-09-08,Display | USA | EN ,1.14
40,2020-09-08,Non-Brand Prospection ,5.03
41,2020-09-09,Search | Brand | USA | EN,32.85
42,2020-09-09,Search | Generic | USA | EN,2.58
43,2020-09-09,Search | Brand | Brazil | EN ,14.75
44,2020-09-09,Display | USA | EN ,0.46
45,2020-09-09,Non-Brand Prospection ,3.45
46,2020-09-10,Search | Brand | USA | EN,34.96
47,2020-09-10,Search | Generic | USA | EN,1.8
48,2020-09-10,Search | Brand | Brazil | EN ,11.21
49,2020-09-10,Display | USA | EN ,0.49
50,2020-09-10,Non-Brand Prospection ,4.14
