,Date,Impressions,value
1,2020-10-01,Campaign A,143
2,2020-10-01,Campaign B,"1,959"
3,2020-10-01,Campaign C,"10,295"
4,2020-10-01,Campaign D,166
5,2020-10-01,Campaign E,55
6,2020-10-02,Campaign A,107
7,2020-10-02,Campaign B,"1,526"
8,2020-10-02,Campaign C,"9,788"
9,2020-10-02,Campaign D,83
10,2020-10-02,Campaign E,66
11,2020-10-03,Campaign A,88
12,2020-10-03,Campaign B,"1,402"
13,2020-10-03,Campaign C,"8,753"
14,2020-10-03,Campaign D,84
15,2020-10-03,Campaign E,33
16,2020-10-04,Campaign A,106
17,2020-10-04,Campaign B,"1,768"
18,2020-10-04,Campaign C,"4,765"
19,2020-10-04,Campaign D,60
20,2020-10-04,Campaign E,48
21,2020-10-05,Campaign A,131
22,2020-10-05,Campaign B,"2,121"
23,2020-10-05,Campaign C,"3,295"
24,2020-10-05,Campaign D,114
25,2020-10-05,Campaign E,57
26,2020-10-06,Campaign A,143
27,2020-10-06,Campaign B,"2,646"
28,2020-10-06,Campaign C,"2,086"
29,2020-10-06,Campaign D,105
30,2020-10-06,Campaign E,65
31,2020-10-07,Campaign A,130
32,2020-10-07,Campaign B,"2,663"
33,2020-10-07,Campaign C,"2,976"
34,2020-10-07,Campaign D,80
35,2020-10-07,Campaign E,66
36,2020-10-08,Campaign A,167
37,2020-10-08,Campaign B,"2,499"
38,2020-10-08,Campaign C,"2,827"
39,2020-10-08,Campaign D,74
40,2020-10-08,Campaign E,37
41,2020-10-09,Campaign A,137
42,2020-10-09,Campaign B,"2,233"
43,2020-10-09,Campaign C,"3,101"
44,2020-10-09,Campaign D,57
45,2020-10-09,Campaign E,52
46,2020-10-10,Campaign A,115
47,2020-10-10,Campaign B,"1,885"
48,2020-10-10,Campaign C,"2,943"
49,2020-10-10,Campaign D,40
50,2020-10-10,Campaign E,37
51,2020-10-11,Campaign A,131
52,2020-10-11,Campaign B,"1,927"
53,2020-10-11,Campaign C,"2,351"
54,2020-10-11,Campaign D,71
55,2020-10-11,Campaign E,28
56,2020-10-12,Campaign A,147
57,2020-10-12,Campaign B,"2,319"
58,2020-10-12,Campaign C,"2,667"
59,2020-10-12,Campaign D,70
60,2020-10-12,Campaign E,37
61,2020-10-13,Campaign A,151
62,2020-10-13,Campaign B,"1,960"
63,2020-10-13,Campaign C,"2,965"
64,2020-10-13,Campaign D,63
65,2020-10-13,Campaign E,68
66,2020-10-14,Campaign A,149
67,2020-10-14,Campaign B,"2,266"
68,2020-10-14,Campaign C,"2,768"
69,2020-10-14,Campaign D,61
70,2020-10-14,Campaign E,16
71,2020-10-15,Campaign A,228
72,2020-10-15,Campaign B,"2,311"
73,2020-10-15,Campaign C,"2,074"
74,2020-10-15,Campaign D,57
75,2020-10-15,Campaign E,0
76,2020-10-16,Campaign A,209
77,2020-10-16,Campaign B,"2,050"
78,2020-10-16,Campaign C,"2,014"
79,2020-10-16,Campaign D,48
80,2020-10-16,Campaign E,0
81,2020-10-17,Campaign A,133
82,2020-10-17,Campaign B,"2,097"
83,2020-10-17,Campaign C,"2,182"
84,2020-10-17,Campaign D,89
85,2020-10-17,Campaign E,0
86,2020-10-18,Campaign A,169
87,2020-10-18,Campaign B,"2,187"
88,2020-10-18,Campaign C,"1,897"
89,2020-10-18,Campaign D,40
90,2020-10-18,Campaign E,0
91,2020-10-19,Campaign A,226
92,2020-10-19,Campaign B,"2,334"
93,2020-10-19,Campaign C,"2,277"
94,2020-10-19,Campaign D,45
95,2020-10-19,Campaign E,0
96,2020-10-20,Campaign A,237
97,2020-10-20,Campaign B,"2,526"
98,2020-10-20,Campaign C,"2,735"
99,2020-10-20,Campaign D,42
100,2020-10-20,Campaign E,0
101,2020-10-21,Campaign A,181
102,2020-10-21,Campaign B,"2,497"
103,2020-10-21,Campaign C,"1,903"
104,2020-10-21,Campaign D,47
105,2020-10-21,Campaign E,0
106,2020-10-22,Campaign A,191
107,2020-10-22,Campaign B,"2,688"
108,2020-10-22,Campaign C,"2,722"
109,2020-10-22,Campaign D,26
110,2020-10-22,Campaign E,0
111,2020-10-23,Campaign A,199
112,2020-10-23,Campaign B,"2,430"
113,2020-10-23,Campaign C,"2,337"
114,2020-10-23,Campaign D,12
115,2020-10-23,Campaign E,0
116,2020-10-24,Campaign A,174
117,2020-10-24,Campaign B,"2,278"
118,2020-10-24,Campaign C,"1,676"
119,2020-10-24,Campaign D,19
120,2020-10-24,Campaign E,0
121,2020-10-25,Campaign A,182
122,2020-10-25,Campaign B,"2,408"
123,2020-10-25,Campaign C,529
124,2020-10-25,Campaign D,34
125,2020-10-25,Campaign E,0
126,2020-10-26,Campaign A,272
127,2020-10-26,Campaign B,"2,559"
128,2020-10-26,Campaign C,791
129,2020-10-26,Campaign D,9
130,2020-10-26,Campaign E,0
131,2020-10-27,Campaign A,267
132,2020-10-27,Campaign B,"2,873"
133,2020-10-27,Campaign C,"1,002"
134,2020-10-27,Campaign D,23
135,2020-10-27,Campaign E,0
136,2020-10-28,Campaign A,239
137,2020-10-28,Campaign B,"3,110"
138,2020-10-28,Campaign C,"1,561"
139,2020-10-28,Campaign D,14
140,2020-10-28,Campaign E,0
141,2020-10-29,Campaign A,228
142,2020-10-29,Campaign B,"3,195"
143,2020-10-29,Campaign C,"1,640"
144,2020-10-29,Campaign D,21
145,2020-10-29,Campaign E,0
146,2020-10-30,Campaign A,172
147,2020-10-30,Campaign B,"2,708"
148,2020-10-30,Campaign C,"1,267"
149,2020-10-30,Campaign D,19
150,2020-10-30,Campaign E,0
151,2020-10-31,Campaign A,138
152,2020-10-31,Campaign B,"2,185"
153,2020-10-31,Campaign C,643
154,2020-10-31,Campaign D,19
155,2020-10-31,Campaign E,0
